iter	Passed	Remaining
901	29523	3207
902	29550	3174
903	29590	3142
904	29627	3110
905	29664	3077
906	29703	3045
907	29744	3013
908	29776	2980
909	29806	2947
910	29846	2915
911	29887	2883
912	29935	2852
913	29974	2820
914	30017	2788
915	30051	2755
916	30101	2724
917	30135	2691
918	30165	2658
919	30200	2626
920	30227	2592
921	30265	2560
922	30296	2527
923	30328	2494
924	30359	2461
925	30397	2429
926	30425	2395
927	30455	2362
928	30495	2330
929	30533	2298
930	30565	2265
931	30608	2233
932	30644	2200
933	30682	2168
934	30716	2135
935	30758	2103
936	30786	2069
937	30836	2038
938	30864	2005
939	30915	1973
940	30963	1941
941	31006	1909
942	31039	1876
943	31072	1843
944	31117	1811
945	31150	1778
946	31182	1745
947	31219	1712
948	31248	1679
949	31286	1646
950	31318	1613
951	31347	1580
952	31413	1549
953	31476	1517
954	31510	1484
955	31548	1452
956	31582	1419
957	31615	1386
958	31643	1352
959	31675	1319
960	31719	1287
961	31752	1254
962	31784	1221
963	31822	1188
964	31867	1155
965	31911	1123
966	31936	1089
967	31985	1057
968	32026	1024
969	32064	991
970	32093	958
971	32120	925
972	32152	892
973	32200	859
974	32230	826
975	32269	793
976	32300	760
977	32339	727
978	32370	694
979	32404	661
980	32444	628
981	32485	595
982	32522	562
983	32558	529
984	32599	496
985	32625	463
986	32667	430
987	32701	397
988	32732	364
989	32777	331
990	32818	298
991	32854	264
992	32889	231
993	32922	198
994	32957	165
995	32991	132
996	33026	99
997	33058	66
998	33107	33
999	33147	0
